,Aceh,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Bangka Belitung,Kepulauan Riau,DKI Jakarta,Jawa Barat,Jawa Tengah,D.I. Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua
2018-06-01,10800.0,12314.29,11900.0,13750.0,11762.5,10825.0,12066.67,11678.57,12168.75,13300.0,12400.0,12750.0,13150.0,12100.0,11633.33,11314.29,11000.0,9650.0,12066.67,13020.0,12864.29,12966.67,12807.14,14450.0,11414.29,11666.67,11075.0,11116.67,11071.43,13680.0,13525.0,13950.0,13200.0
2018-07-01,11176.67,12271.88,11900.0,13750.0,11890.0,11096.67,11084.38,11684.38,12118.75,13250.0,12053.13,12440.63,13131.25,12084.38,11634.38,11134.38,11000.0,9960.0,12162.5,13000.0,12928.13,12571.88,12800.0,14406.67,11400.0,11828.13,10584.38,11336.67,11187.5,13810.0,13471.88,13646.88,13193.75
2018-08-01,11200.0,12250.0,11900.0,14000.0,11700.0,11100.0,11100.0,11950.0,12200.0,13250.0,12189.064999999999,12600.0,13200.0,12050.0,11700.0,11150.0,11000.0,10000.0,11800.0,13000.0,12900.0,12150.0,12850.0,14115.835,11400.0,11750.0,10500.0,11450.0,11200.0,13650.0,13650.0,14300.0,13171.875
2018-09-01,10912.5,12387.5,11900.0,13925.0,20187.5,10962.5,12200.0,12087.5,12175.0,13312.5,12325.0,12275.0,12912.5,11983.33,11225.0,11175.0,11000.0,10000.0,12025.0,12983.33,12987.5,11950.0,12862.5,13825.0,11425.0,11500.0,10825.0,10975.0,11200.0,13650.0,13612.5,13925.0,13150.0
2018-10-01,11212.5,12025.0,12425.0,13875.0,11212.5,11175.0,12050.0,12175.0,12200.0,13250.0,11950.0,12300.0,12637.5,11937.5,11900.0,11250.0,10625.0,11000.0,12087.5,13000.0,13025.0,12600.0,12800.0,13562.5,11400.0,11750.0,10700.0,11200.0,11200.0,13600.0,13600.0,13662.5,13162.5
2018-11-01,11404.55,12088.64,12661.36,14806.82,11172.73,11445.45,12161.36,12229.55,12181.82,13261.36,12361.36,12277.27,12325.0,11935.71,11890.91,11313.64,11000.0,10923.81,12050.0,13000.0,13090.91,12413.64,12768.18,13550.0,11404.55,11720.45,10797.73,11104.55,11200.0,13572.73,13584.09,13990.91,13150.0
2018-12-01,11450.0,12306.25,12726.67,14966.67,11370.0,11446.67,12062.5,12203.33,12250.0,13250.0,12271.43,12000.0,12006.25,11864.29,12060.0,11531.25,11716.67,11000.0,12076.47,13000.0,13106.67,12289.29,12800.0,13771.88,11407.14,11756.67,10736.67,11193.75,11200.0,13493.33,13593.75,13983.33,13150.0
2019-01-01,10985.71,12578.57,12895.24,15000.0,12321.43,11450.0,12514.29,12302.38,12461.9,13211.9,12026.19,11976.19,12023.81,12045.24,12164.29,12119.05,11904.76,11000.0,12000.0,13071.43,13092.86,12750.0,12600.0,14500.0,11400.0,11742.86,11000.0,10185.71,11200.0,13126.19,13583.33,14291.18,13150.0
2019-02-01,11009.09,12550.0,12910.0,14975.0,12344.44,11444.44,12645.0,12111.11,12488.89,13200.0,12016.67,12316.67,12087.5,12210.0,12187.5,12087.5,12000.0,11000.0,12235.71,13094.44,13187.5,12383.33,12618.75,14268.75,11400.0,11714.29,10883.33,10171.43,11350.0,13100.0,13628.57,14300.0,13172.22
2019-03-01,10732.5,12537.5,12822.5,14995.0,12355.0,11447.5,12257.5,11980.0,12392.5,13270.0,11982.5,12075.0,12090.0,12217.5,12155.0,11340.0,11625.0,11002.5,12112.5,13087.5,13230.0,12600.0,12577.5,13845.0,11317.5,11750.0,9982.5,10092.5,11400.0,13097.5,13540.0,14015.38,13270.0
2019-04-01,10200.0,12550.0,12850.0,14800.0,12350.0,11225.0,11850.0,11950.0,12100.0,13600.0,11750.0,11800.0,11950.0,11700.0,11950.0,10550.0,11000.0,11150.0,13450.0,13050.0,12875.0,13200.0,12650.0,13500.0,11200.0,11850.0,11100.0,10550.0,12000.0,14050.0,13500.0,13800.0,13300.0
2019-05-01,10300.0,11775.0,12850.0,14700.0,12350.0,11225.0,11850.0,11675.0,12100.0,13550.0,11750.0,12150.0,11950.0,11750.0,12150.0,10700.0,11000.0,10800.0,14850.0,13175.0,12937.5,13100.0,12550.0,13500.0,11150.0,11750.0,11150.0,10459.375,11825.0,14050.0,13450.0,13800.0,13250.0
2019-06-01,11005.56,12100.0,12786.36,14636.36,11600.0,11166.67,12027.27,11887.5,12005.0,13675.0,12100.0,12030.0,11527.27,11918.75,12050.0,11037.5,11277.27,10477.78,13655.0,13050.0,13185.29,13816.67,12762.5,13668.75,10916.67,11722.22,11118.75,10368.75,12000.0,13555.56,13294.44,13611.11,13161.11
2019-07-01,11130.43,12082.61,12997.83,14626.09,11767.39,11253.57,12480.43,12100.0,12358.7,13930.43,11880.43,11976.09,11943.48,12106.52,11884.78,11058.7,11548.15,10543.48,13671.74,13095.65,13265.12,14004.35,12767.39,13567.39,11043.48,11686.96,11219.57,10576.09,12000.0,13073.91,13536.96,13313.04,13189.13
2019-08-01,11444.44,12069.44,12877.78,14638.89,11766.67,11324.0,12694.44,12086.11,12544.44,13800.0,11673.53,12016.67,11905.56,11882.35,11803.13,11058.82,11510.0,10366.67,13630.56,13100.0,13230.3,14011.76,12736.11,13541.67,11138.24,11675.0,11291.67,10511.76,12000.0,13435.29,13486.11,13350.0,13197.22
2019-09-01,11493.96,11990.155,12866.065,14617.27,11763.77,11388.085,12676.57,12145.23,12459.175,13800.0,11663.94,12002.9,11904.955,11814.0,11808.085,11065.279999999999,11555.0,10428.985,13468.54,13101.085,13177.22,13958.055,12783.27,13539.314999999999,11144.119999999999,11696.195,11356.705,10484.14,12000.0,13473.0,13511.535,13327.175,13196.435
2019-10-01,11543.48,11910.87,12854.35,14595.65,11760.87,11452.17,12658.7,12204.35,12373.91,13800.0,11654.35,11989.13,11904.35,11745.65,11813.04,11071.74,11600.0,10491.3,13306.52,13102.17,13124.14,13904.35,12830.43,13536.96,11150.0,11717.39,11421.74,10456.52,12000.0,13510.71,13536.96,13304.35,13195.65
2019-11-01,12969.05,11952.38,12850.0,14526.19,11552.38,11445.24,12407.14,12238.1,12523.81,13802.38,11719.05,12007.14,12028.57,11621.43,11769.05,11104.76,11600.0,10711.9,13354.76,13100.0,13078.57,13185.71,12807.14,13550.0,11157.14,11707.14,11383.33,10447.62,12000.0,13770.83,13504.76,13326.19,13192.86
2019-12-01,11587.5,12206.25,12850.0,14543.75,11550.0,11461.11,12250.0,12250.0,12225.0,13800.0,11656.25,11643.75,11972.22,11450.0,11800.0,11125.0,11600.0,10650.0,13262.5,13100.0,13075.0,13075.0,12793.75,13561.11,11150.0,11750.0,11381.25,10300.0,12000.0,13955.56,13500.0,13333.33,13194.44
2020-01-01,11090.48,12671.43,12900.0,14652.38,11600.0,11411.36,12047.62,12247.62,12035.71,13800.0,11933.33,11702.38,11978.57,11566.67,12083.33,11575.0,11663.64,11088.1,11990.48,13100.0,13152.38,13168.18,12754.76,14488.1,11230.95,11750.0,11333.33,9850.0,12000.0,13100.0,13511.9,13790.48,13247.62
2020-02-01,11052.5,12760.0,12932.5,14640.0,11547.5,11452.5,12097.5,12250.0,12017.5,13800.0,11825.0,11687.5,12005.0,11577.5,12139.47,11433.33,11650.0,11157.5,12000.0,13107.5,13047.5,13235.71,12832.5,14475.0,11217.5,11475.0,11482.5,9847.5,12000.0,13100.0,13507.5,13680.0,13252.5
2020-03-01,10804.76,12819.05,13166.67,14645.24,11550.0,11459.52,12378.57,12333.33,12116.67,13800.0,11838.1,11778.57,12116.67,11464.29,12195.24,11500.0,11733.33,11209.52,12000.0,13147.62,13076.19,13138.1,12828.57,14488.1,11288.1,11366.67,11550.0,10507.14,12000.0,13102.38,13504.76,13657.14,13250.0
2020-04-01,11271.74,12690.48,13107.14,14650.0,11535.71,11500.0,12500.0,12488.1,12395.24,13800.0,11914.29,11907.14,12121.43,11473.81,12040.48,11445.45,11750.0,11042.86,12000.0,13147.62,13597.62,13452.38,12916.67,13795.24,11540.48,11630.95,11326.19,11107.14,12000.0,13911.9,13504.76,13338.64,13245.24
2020-05-01,11328.95,12790.0,13115.0,14630.0,11450.0,11473.68,12155.0,12336.11,12334.21,13821.05,12222.5,12120.0,12057.5,11830.0,11944.44,11466.67,11630.0,11000.0,12000.0,13169.44,14781.58,14268.42,12972.5,13700.0,11510.0,11210.0,11352.94,10902.78,12000.0,13860.0,13477.5,13450.0,13245.0
2020-06-01,11402.38,12588.1,12938.1,14640.48,11552.38,11500.0,11966.67,12257.14,12233.33,13466.67,11880.95,12052.38,12188.1,11457.14,12033.33,11630.95,11952.38,11021.43,12102.38,13147.62,14519.05,14378.57,12890.48,13700.0,11550.0,11226.19,11333.33,10602.38,12000.0,14047.62,13526.19,13292.86,13221.43
2020-07-01,11368.18,12472.73,12927.27,14593.18,11559.09,11459.09,12000.0,12236.36,12195.45,13300.0,11636.36,12095.45,12293.18,11450.0,12056.82,11336.36,12000.0,10952.27,12000.0,13138.64,14502.27,14304.55,12813.64,13700.0,11565.91,11250.0,11336.36,10645.45,12000.0,14047.73,13522.73,13325.0,13190.91
2020-08-01,11455.56,12708.33,12955.56,14600.0,11550.0,11577.78,12000.0,12200.0,12122.22,13300.0,11719.44,12225.0,12361.11,11444.44,12036.11,11400.0,11986.11,10708.33,11980.56,13136.11,14322.22,14372.22,12838.89,13691.67,11547.22,11241.67,11319.44,10608.33,12000.0,13861.11,13508.33,13316.67,13202.78
2020-09-01,11431.82,12925.0,12940.91,14602.27,11536.36,11504.55,12000.0,12220.45,11938.64,13300.0,11727.27,12320.45,12354.55,11477.27,11900.0,11400.0,12000.0,10650.0,11975.0,13134.09,14100.0,14350.0,12852.27,13700.0,11565.91,11250.0,11295.45,10550.0,12000.0,13879.55,13513.64,13331.82,13202.27
2020-10-01,11355.26,12895.24,12944.74,14600.0,11550.0,11415.79,12000.0,12300.0,11871.05,13300.0,11631.58,12139.47,12357.89,11647.37,11942.11,11421.05,11973.68,10747.37,12000.0,13107.89,14134.21,14294.74,13242.11,13747.37,11555.26,11255.26,11305.26,10494.74,12000.0,13860.0,13492.11,13371.05,13200.0
2020-11-01,11378.57,12907.14,12942.86,14600.0,11550.0,11347.62,12000.0,12257.14,11883.33,13300.0,11609.52,12047.62,12359.52,11650.0,11907.14,11459.52,11988.1,10666.67,12000.0,13092.86,13930.95,14219.05,13397.62,13692.86,11550.0,11261.9,11280.95,10550.0,12000.0,14004.76,13516.67,13385.71,13202.38
2020-12-01,11372.5,12900.0,12955.0,14560.53,11550.0,11347.37,11995.0,12292.5,11910.53,13300.0,11682.5,12050.0,12380.0,11610.53,11822.5,11352.5,12000.0,11084.21,11965.0,13102.5,13821.05,13855.26,13270.0,13697.37,11542.11,11236.84,11262.5,10550.0,12000.0,14050.0,13500.0,13407.5,13202.5
2021-01-01,10782.5,12855.0,12970.0,14625.0,11550.0,11340.0,12000.0,12290.0,11985.0,13300.0,11687.5,11952.5,12015.0,11832.5,12395.0,11032.5,11957.5,11000.0,12000.0,13327.5,13805.0,14210.0,12780.0,14500.0,11550.0,11297.5,11220.0,10220.0,12000.0,13105.0,13500.0,13727.5,13180.0
2021-02-01,11173.68,12752.63,12810.53,14557.89,11476.32,11334.21,12000.0,12292.11,12031.58,13300.0,11747.37,11913.16,12368.42,11884.21,12407.89,11350.0,11950.0,11000.0,12100.0,13397.37,13802.63,14394.74,13152.63,14157.89,11547.37,11323.68,11271.05,11028.95,11963.16,13194.74,13500.0,13615.79,13152.63
2021-03-01,11400.0,12788.64,12795.45,14327.27,11261.36,11350.0,12000.0,12247.73,12013.64,13300.0,11750.0,11695.45,12263.64,11900.0,12402.27,11484.09,11818.18,11013.64,13436.36,13231.82,13859.09,14350.0,13154.55,13777.27,11552.27,10829.55,11368.18,11079.55,12000.0,13250.0,13511.36,13615.91,13150.0
2021-04-01,11450.0,12431.82,12778.57,14350.0,11250.0,11350.0,12000.0,12250.0,11870.45,13300.0,11669.05,11916.67,12192.86,11902.38,11340.48,11559.52,11819.05,11000.0,13590.48,13243.18,13807.14,14340.48,13088.64,13497.62,11554.76,10528.57,11371.43,11300.0,12000.0,13576.19,13500.0,13485.71,13123.81
2021-05-01,11305.26,12600.0,12502.63,14300.0,11211.11,11308.33,12155.26,12280.56,11897.37,13272.22,11710.53,11807.89,12236.84,12086.84,11132.35,11541.67,11715.79,10979.41,13891.67,13181.58,13950.0,14375.0,13034.21,13550.0,11523.68,11268.42,11444.44,11188.24,12000.0,13502.63,13502.63,13452.63,13157.89
2021-06-01,11380.95,12350.0,12873.81,14297.62,11261.9,11252.38,12000.0,12200.0,11745.24,13300.0,11719.05,11814.29,12119.05,11835.71,11104.76,11547.62,11804.76,10930.95,13895.24,13407.14,13802.38,14340.48,13078.57,13507.14,11550.0,10385.71,11385.71,11095.24,12000.0,13550.0,13500.0,13471.43,13088.1
2021-07-01,11445.24,12185.71,12800.0,14297.62,11250.0,10561.9,11992.86,11959.52,11723.81,13300.0,11676.19,11850.0,11900.0,11878.57,10911.9,11314.29,11621.43,10983.33,13904.76,13516.67,13814.29,14340.48,12861.9,13421.43,11550.0,11133.33,11092.86,11035.71,12000.0,13542.86,13500.0,13450.0,13090.48
2021-08-01,11487.5,12197.5,12765.0,14297.5,11250.0,10797.62,12120.0,11950.0,11735.0,13300.0,11622.5,11850.0,12050.0,11765.0,10860.0,11245.0,11590.0,11000.0,13900.0,13545.0,13762.5,14360.0,12845.0,13442.5,11550.0,11300.0,11040.0,11240.0,12000.0,13550.0,13495.0,13457.5,13100.0
2021-09-01,11431.82,12165.91,12793.18,14288.64,11250.0,10759.09,12000.0,11945.45,11547.73,13300.0,11581.82,11850.0,12104.55,11811.36,10840.91,11295.45,11650.0,10977.27,13900.0,13547.73,13802.27,14256.82,12884.09,13365.91,11550.0,11300.0,11047.73,11100.0,12000.0,13550.0,13488.64,13454.55,13100.0
2021-10-01,11380.0,12182.5,12810.0,14300.0,11250.0,10750.0,12000.0,11947.5,11650.0,13300.0,11617.5,11865.0,12300.0,11657.5,10905.0,11295.0,11650.0,11025.0,13897.5,13370.0,13815.0,14375.0,12910.0,13372.5,11567.5,11300.0,11030.0,11100.0,12000.0,13550.0,13582.5,13485.0,13092.5
2021-11-01,11350.0,12197.73,12963.64,14297.73,11250.0,10736.36,12000.0,11959.09,11650.0,13300.0,11729.55,11847.73,12352.27,11643.18,10859.09,11220.45,11650.0,11045.45,13920.45,13404.55,13793.18,14268.18,12922.73,13370.45,11647.73,11300.0,11031.82,11120.45,12000.0,13550.0,13493.18,13563.64,13097.73
2021-12-01,11463.04,12176.09,13004.35,14300.0,11250.0,10976.09,12000.0,11950.0,11702.17,13313.04,11578.26,11843.48,12333.33,11630.43,10941.3,11215.22,11771.74,11063.04,13895.65,13450.0,13782.61,14350.0,12982.61,13367.39,11630.43,11300.0,11021.74,11100.0,12000.0,13550.0,13486.96,13563.04,13100.0
2022-01-01,11545.24,12271.43,13000.0,14321.43,11690.48,11133.33,12000.0,12007.14,12104.76,13400.0,11640.48,11773.81,12306.52,11628.57,11028.57,11238.1,12000.0,11171.43,13900.0,13450.0,13776.19,14435.71,13047.62,13376.19,11640.48,11304.76,11030.95,10645.24,11988.1,13464.29,13754.76,13547.62,13102.38
2022-02-01,11802.78,12297.22,13000.0,14327.78,11855.56,11222.22,12000.0,12097.22,12188.89,13400.0,11627.78,11761.11,11905.56,11569.44,11075.0,11000.0,11902.78,11050.0,13900.0,13450.0,14444.44,14327.78,12936.11,13511.11,11655.56,11305.56,11013.89,10700.0,12000.0,13447.22,13752.78,13555.56,13100.0
2022-03-01,11561.36,12300.0,13143.18,14350.0,11847.73,11209.09,11993.18,12063.64,12159.09,13400.0,11659.09,11747.73,12202.27,11577.27,11127.27,10986.36,11800.0,10997.73,13868.18,13461.36,14447.73,14350.0,12984.09,13556.82,11638.64,11297.73,11025.0,10700.0,12000.0,13550.0,13731.82,13563.64,13115.91
2022-04-01,11487.5,12390.0,13167.5,14327.5,11807.5,11242.5,11987.5,11975.0,12177.5,13395.0,11700.0,11760.0,12212.5,11655.0,11132.5,11136.84,11810.0,10950.0,13785.0,13480.0,14470.0,14450.0,12930.0,13545.0,11632.5,11310.0,11047.62,10697.5,12000.0,13527.5,13700.0,13565.0,13142.5
2022-05-01,11502.78,12566.67,13175.0,14288.89,11825.0,11263.89,11991.67,12166.67,12119.44,13383.33,11975.0,11744.44,12111.11,11547.22,11156.67,11525.0,11825.0,10883.33,13316.67,13427.78,14530.56,14544.44,12980.56,13583.33,11583.33,11250.0,10955.56,10547.22,12000.0,13475.0,13663.89,13577.78,13150.0
2022-06-01,11740.48,12290.48,13088.1,14350.0,11797.62,11492.86,12000.0,11947.62,12140.48,13400.0,12050.0,11747.62,12114.29,11526.19,11145.24,11564.29,11819.05,10990.48,13900.0,13450.0,14366.67,14700.0,13078.57,13547.62,11650.0,11316.67,11000.0,10600.0,12000.0,13550.0,13740.48,13554.76,13147.62
2022-07-01,11709.52,12304.76,13050.0,14350.0,11797.62,11497.62,11980.95,11950.0,12314.29,13400.0,12047.62,11730.95,12169.05,11461.9,11116.67,11597.62,11809.52,11030.95,13900.0,13490.48,14428.57,14619.05,13054.76,13550.0,11371.43,11300.0,11000.0,10600.0,12000.0,13550.0,13821.43,13554.76,13152.38
2022-08-01,11915.22,12297.83,13186.96,14350.0,11797.83,11491.3,12008.7,12041.3,12363.04,13400.0,12015.22,11795.65,12134.78,11332.61,11263.04,11752.17,11860.87,11000.0,13900.0,13508.7,14421.74,15167.39,13045.65,13552.17,11600.0,11300.0,11000.0,10565.22,12000.0,13550.0,13997.83,13560.87,13200.0
2022-09-01,12277.27,12502.27,13577.27,14731.82,11913.64,11909.09,12111.36,11938.64,12313.64,13400.0,11995.45,11797.73,12172.73,11265.91,11354.55,12152.27,11981.82,11000.0,13922.73,13552.27,15234.09,15800.0,13075.0,13604.55,11647.73,11463.64,11004.55,10681.82,12000.0,13550.0,14002.27,13547.73,13263.64
2022-10-01,12395.24,12602.38,16276.19,14435.71,12726.19,12019.05,12328.57,11476.19,12507.14,13457.14,12430.95,12611.9,12397.62,11242.86,11738.1,12580.95,11988.1,10959.52,12302.38,13850.0,13973.81,13045.24,13523.81,14028.57,12100.0,11247.62,10954.76,11952.38,11650.0,13797.62,13957.14,13976.19,14723.81
2022-11-01,12002.27,12595.45,16775.0,14309.09,12850.0,12197.73,12529.55,11495.45,12525.0,13550.0,12450.0,12652.27,12534.09,11429.55,11806.82,12177.27,12056.82,11150.0,12350.0,13854.55,14072.73,13318.18,13554.55,14036.36,12097.73,11218.18,10947.73,12045.45,11650.0,13800.0,14000.0,14000.0,14840.91
2022-12-01,11893.18,12563.64,16513.64,14370.45,12809.09,12338.64,12650.0,11836.36,12600.0,13550.0,12477.27,12820.45,12863.64,11781.82,12093.18,12581.82,12450.0,11140.91,12550.0,13915.91,14418.18,13704.55,13622.73,14077.27,12429.55,11525.0,11168.18,12154.55,11756.82,14004.55,14272.73,14070.45,15079.55
2023-01-01,12278.57,12740.48,16464.29,14638.1,12935.71,12514.29,13185.71,12047.62,12728.57,13597.62,12473.81,12890.48,13002.38,12811.9,12369.05,12666.67,12595.24,11445.24,12759.52,14059.52,14619.05,14485.71,13673.81,14059.52,12714.29,12116.67,11216.67,12252.38,11864.29,14626.19,14442.86,13821.43,15002.38
2023-02-01,12470.0,13157.5,16357.5,14842.5,13300.0,13035.0,13570.0,12500.0,12942.5,13615.0,12810.0,13087.5,13307.5,13872.5,12597.5,12750.0,13272.5,12802.5,13745.0,14417.5,14832.5,15070.0,13797.5,14470.0,12732.5,12537.5,11545.0,12340.0,12270.0,14652.5,14380.0,14022.5,15077.5
2023-03-01,12095.24,13569.05,16047.62,14678.57,12997.62,13028.57,13540.48,12569.05,13104.76,13650.0,13121.43,13057.14,13321.43,13850.0,12404.76,12857.14,13278.57,11407.14,14473.81,14752.38,15671.43,15685.71,14026.19,14500.0,13176.19,14107.14,12376.19,12847.62,12600.0,14819.05,15283.33,14350.0,15266.67
2023-04-01,12202.63,13634.21,15944.74,14647.37,12897.37,12855.26,13526.32,12889.47,13265.79,13721.05,13505.26,13089.47,13531.58,13536.84,12686.84,12942.11,13500.0,12573.68,14578.95,15297.37,16239.47,17397.37,14352.63,14692.11,13213.16,13650.0,12502.63,13534.21,12600.0,14989.47,15586.84,14760.53,15307.89
2023-05-01,12145.24,13773.81,15950.0,14650.0,13078.57,12871.43,13614.29,12709.52,13642.86,13678.57,13247.62,13007.14,13502.38,13888.1,12811.9,12957.14,13359.52,13000.0,14340.48,15302.38,16061.9,17650.0,14138.1,14602.38,13364.29,13066.67,12519.05,13423.81,12600.0,15338.1,15635.71,14876.19,15397.62
2023-06-01,12114.71,13808.82,15944.12,14644.12,13614.71,13505.88,13664.71,12750.0,13752.94,13750.0,13214.71,12985.29,13488.24,13861.76,12858.82,13044.12,13500.0,12917.65,14150.0,15267.65,16111.76,17676.47,14132.35,14647.06,13400.0,13023.53,12497.06,14000.0,12600.0,15573.53,15650.0,14776.47,15685.29
2023-07-01,12131.272,13833.729,15993.771,14610.541,13645.58,13665.909,13668.439,12767.857,13882.721,13757.5,13479.915,12989.211,13565.155,13818.257,12879.245,13087.439,13563.719,13117.52,14099.683,15418.348,16165.885,17754.965,14154.437,14514.522,13550.845,13046.144,12520.761,14198.463,12566.48,15565.016,15796.908,14790.244,15829.968
2023-08-01,12081.084,13858.638,16060.98,14578.037,13676.45,13825.938,13685.724,12785.714,14012.502,13765.0,13704.745,12993.133,13642.069,13847.236,12899.67,13116.084,13610.357,13161.53,14197.204,15569.045,16220.011,17833.46,14176.524,14486.732,13639.18,13068.759,12544.462,14558.004,12606.575,15549.886,15943.816,14804.019,15974.646
2023-09-01,12099.122,13883.546,16128.189,14552.524,13707.32,13985.967,13714.199,12803.571,14142.283,13772.5,13799.87,12997.054,13718.984,13876.215,12920.094,13144.729,13653.195,13168.873,14185.807,15719.743,16274.136,17911.956,14198.611,14453.073,13761.454,13091.373,12568.163,14771.512,12662.997,15564.67,16090.725,14817.793,16119.324
