,Aceh,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Bangka Belitung,Kepulauan Riau,DKI Jakarta,Jawa Barat,Jawa Tengah,D.I. Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Gorontalo,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua
2018-01-01,29263.04,31328.26,39069.57,30986.96,35895.65,34080.43,38652.17,32793.48,34184.78,36434.78,31471.74,35423.91,35204.35,34723.91,32782.61,36456.82,34647.83,40289.13,42391.3,31028.26,32858.7,28763.04,29178.26,41065.22,28130.43,25478.26,25139.13,32071.74,31108.7,24000.0,40052.17,34897.83,41956.52,42282.61
2018-02-01,27050.0,29000.0,36650.0,30150.0,31800.0,31325.0,33750.0,33000.0,33750.0,37000.0,30800.0,34900.0,32350.0,32975.0,32200.0,36300.0,34750.0,36650.0,42500.0,28100.0,30500.0,26025.0,27000.0,38000.0,27000.0,25250.0,24750.0,31950.0,28000.0,24000.0,33000.0,36000.0,45000.0,40000.0
2018-03-01,25729.760000000002,29525.0,36669.05,28951.190000000002,32371.43,32161.31,34220.240000000005,33550.0,35517.854999999996,34220.24,30896.43,34844.05,32723.81,32402.975,31607.145,35063.095,36277.380000000005,39257.145000000004,35753.57,30446.43,32119.05,27014.879999999997,28602.379999999997,39202.380000000005,27190.475,26172.620000000003,24985.715,33535.715,28214.285,23666.665,36078.57,36876.19,41577.380000000005,40000.0
2018-04-01,24409.52,30050.0,36688.1,27752.38,32942.86,32997.62,34690.48,34100.0,37285.71,31440.48,30992.86,34788.1,33097.62,31830.95,31014.29,33826.19,37804.76,41864.29,29007.14,32792.86,33738.1,28004.76,30204.76,40404.76,27380.95,27095.24,25221.43,35121.43,28428.57,23333.33,39157.14,37752.38,38154.76,40000.0
2018-05-01,23471.43,29578.57,37578.57,31541.67,35228.57,35392.86,41250.0,35857.14,38375.0,31875.0,35085.71,36250.0,34435.71,33771.43,33871.43,36825.0,37535.71,38818.75,29400.0,33857.14,37464.29,31528.57,34835.71,39642.86,30428.57,30514.29,27757.14,35642.86,32000.0,24857.14,38162.5,38985.71,41428.57,40714.29
2018-06-01,22285.71,27710.0,36920.0,29120.0,31700.0,34428.57,37583.33,37285.71,32375.0,33250.0,34266.67,37368.75,36670.0,35930.0,35075.0,37892.86,36766.67,38871.43,28975.0,38007.14,40041.67,31733.33,35285.71,40833.33,34857.14,29000.0,29916.67,37912.5,33428.57,27142.86,43560.0,40142.86,43593.75,41428.57
2018-07-01,28093.75,32559.38,43637.5,36290.63,38150.0,39350.0,40400.0,39968.75,32466.67,36234.38,31821.88,39106.25,37221.88,36687.5,34460.0,39615.63,39868.75,45834.38,37812.5,33683.33,38906.25,31083.33,30700.0,47766.67,34281.25,31671.88,31996.88,36609.38,34000.0,30000.0,48306.67,45703.13,40000.0,40000.0
2018-08-01,28500.0,35250.0,45000.0,32107.815,36300.0,42500.0,44000.0,37434.375,31358.335,36148.44,33450.0,37900.0,34785.94,39000.0,32480.0,40500.0,40500.0,38473.44,40000.0,41000.0,35750.0,29529.165,38000.0,51500.0,35500.0,29148.440000000002,31035.940000000002,38850.0,36000.0,30000.0,49903.335,43300.0,41250.0,40000.0
2018-09-01,23562.5,28525.0,37850.0,27925.0,29450.0,29562.5,32250.0,34900.0,30250.0,36062.5,31050.0,34100.0,32350.0,32487.5,30500.0,36825.0,36187.5,31112.5,44375.0,31837.5,32375.0,27975.0,27987.5,43750.0,34250.0,26625.0,30075.0,38912.5,34000.0,30000.0,51500.0,43525.0,42500.0,40000.0
2018-10-01,20000.0,28000.0,34537.5,27750.0,31025.0,29850.0,30375.0,32437.5,30375.0,33875.0,30637.5,34312.5,32375.0,32062.5,30237.5,35350.0,34387.5,42312.5,40625.0,30487.5,38250.0,30975.0,30287.5,43000.0,29375.0,20000.0,26400.0,38925.0,34000.0,27500.0,44250.0,42900.0,40125.0,40000.0
2018-11-01,22068.18,27772.73,34861.36,26625.0,29379.55,28752.27,30136.36,32045.45,33295.45,36647.73,30443.18,34206.82,32861.36,32022.73,32584.09,35802.27,36813.64,42888.64,38465.91,31000.0,32125.0,27415.91,26165.91,39431.82,32250.0,30397.73,29279.55,36547.73,34000.0,27840.91,41136.36,43272.73,41590.91,40454.55
2018-12-01,25350.0,28700.0,38653.33,29166.67,31500.0,32390.0,32428.57,34482.14,32933.33,38117.65,31253.57,36578.57,34850.0,33500.0,33840.0,37336.67,40433.33,43832.14,42232.14,33700.0,37285.71,29653.33,30103.57,42625.0,37066.67,33232.14,30933.33,38813.33,35333.33,30000.0,40735.71,43100.0,43071.43,40000.0
2019-01-01,31204.55,29754.55,37834.09,27804.55,32511.36,29852.27,32863.64,33772.73,27500.0,40909.09,31404.55,35186.36,34318.18,34045.45,33468.18,36909.09,38306.82,37765.91,50000.0,33600.0,40272.73,32427.27,31027.27,49363.64,33886.36,33136.36,29415.91,32188.64,34681.82,30000.0,35340.91,43654.55,45954.55,40000.0
2019-02-01,29250.0,29845.0,37325.0,26080.0,26388.89,26800.0,28444.44,32105.56,26638.89,38555.56,30660.0,33850.0,32812.5,32105.56,32144.44,32888.89,37083.33,34760.0,48625.0,26666.67,34222.22,30757.14,27392.86,42111.11,31781.25,31750.0,25443.75,29822.22,34000.0,30000.0,35000.0,43688.89,41000.0,40000.0
2019-03-01,30090.0,29332.5,36480.0,27200.0,27020.0,28167.5,29825.0,32005.0,29675.0,37725.0,30995.0,32725.0,29852.5,31687.5,31597.5,33475.0,34862.5,35707.5,47175.0,25710.0,34950.0,28745.0,28047.5,39125.0,30912.5,25257.5,24195.0,29047.5,34000.0,28100.0,35000.0,43300.0,39387.5,40040.0
2019-04-01,30000.0,29816.67,40325.0,33500.0,37650.0,33450.0,38000.0,34100.0,43000.0,40750.0,31550.0,34675.0,33050.0,33000.0,33233.33,37000.0,35250.0,37416.67,35000.0,36450.0,37250.0,31050.0,30150.0,42000.0,33000.0,28000.0,25200.0,33950.0,34000.0,28000.0,46500.0,42375.0,39000.0,40000.0
2019-05-01,33500.0,29933.33,40750.0,29000.0,37650.0,35000.0,37725.0,37625.0,33000.0,42750.0,31550.0,37000.0,32950.0,34000.0,31700.0,35900.0,37750.0,36900.0,30500.0,32000.0,37000.0,33500.0,29000.0,43500.0,34000.0,28034.375,27053.125,33632.145000000004,34562.5,29000.0,46500.0,42737.5,40763.89,38650.0
2019-06-01,32075.0,33913.64,39800.0,33900.0,34768.75,34071.43,37450.0,37171.43,32012.5,39944.44,33427.78,35175.0,44896.67,34865.63,32426.47,37442.86,36305.0,41355.56,37894.44,35293.75,35134.62,29327.78,28280.0,42156.25,36187.5,28068.75,28906.25,33314.29,35125.0,32222.22,41305.56,43100.0,42527.78,42687.5
2019-07-01,29486.96,34203.7,42195.65,34310.87,34104.35,33120.0,35434.78,34378.26,35958.7,37858.7,30463.04,34580.43,40802.22,33950.0,32032.22,35684.78,36755.56,43113.04,41143.48,34186.96,34069.77,29505.77,29063.04,41532.61,32826.09,28026.09,25991.3,32739.13,32206.52,30000.0,43195.65,43300.0,39304.35,39486.96
2019-08-01,24820.59,28670.69,37452.78,30441.67,31279.41,29656.25,30058.82,34955.88,31731.82,37027.78,30159.38,34564.71,32720.59,33043.75,32313.64,35467.5,36315.79,36763.89,38177.78,32488.24,32106.06,27968.42,27832.35,42985.29,33558.82,28679.41,26397.5,33003.13,33263.89,30588.24,42955.88,43202.94,38250.0,40694.12
2019-09-01,26642.905,29680.485,37234.725,31823.01,31666.879999999997,30845.515,32616.365,34618.155,29619.7,36171.5,30020.995000000003,34193.225,32575.635000000002,32867.525,32008.905,35028.91,35854.635,39555.86,39398.675,33154.99,32320.27,26356.885,28256.39,39606.775,32279.41,27151.66,26342.690000000002,32311.98,30271.945,30348.47,40903.535,43234.08,37875.0,40392.71000000001
2019-10-01,28465.22,30690.28,37016.67,33204.35,32054.35,32034.78,35173.91,34280.43,27507.58,35315.22,29882.61,33821.74,32430.68,32691.3,31704.17,34590.32,35393.48,42347.83,40619.57,33821.74,32534.48,24745.35,28680.43,36228.26,31000.0,25623.91,26287.88,31620.83,27280.0,30108.7,38851.19,43265.22,37500.0,40091.3
2019-11-01,28516.67,29750.0,36137.5,31583.33,32616.67,30778.57,31833.33,34628.57,29736.0,37821.43,30397.62,34716.67,32965.85,33827.27,33204.76,36973.91,36757.14,42590.48,39785.71,35707.14,40064.29,34229.17,30483.33,39619.05,31380.95,26623.81,28742.0,33773.81,28523.81,31547.62,39669.12,43185.71,37619.05,41942.86
2019-12-01,28687.5,31055.56,36083.33,30275.0,30671.43,30214.29,31625.0,33475.0,33068.75,37125.0,30818.75,34006.25,31896.43,32781.25,30690.0,36150.0,36525.0,39942.86,45750.0,33150.0,42218.75,30355.0,30028.57,46214.29,33428.57,28162.5,29025.0,34100.0,34000.0,32500.0,41818.75,39025.0,37500.0,42142.86
2020-01-01,33680.56,28352.08,36823.61,27905.88,28805.88,27605.56,29191.18,32016.18,28315.31,38911.76,30907.35,34309.52,31333.82,31902.94,30505.88,33500.0,35002.94,37435.29,39752.94,31573.53,36625.0,30665.08,27964.71,38156.25,30735.29,30448.53,25939.71,29985.29,28352.94,30588.24,36133.82,42601.47,40000.0,41470.59
2020-02-01,29545.45,28079.55,34447.22,25960.61,28792.42,29803.03,31306.06,32312.12,22673.47,38848.48,30609.09,34465.15,32086.51,32769.7,32167.24,33632.35,36328.79,38228.79,39715.15,35348.48,40545.45,33158.75,30521.21,41727.27,31227.27,30575.76,23856.06,29589.39,31000.0,30000.0,36000.0,42407.58,41893.94,40400.0
2020-03-01,29207.89,26774.51,36267.86,28780.77,28450.0,29223.68,30194.74,33519.74,26388.0,36368.42,30775.0,34538.75,31514.38,32370.73,31115.79,33684.21,34647.37,35215.79,33311.84,32178.95,37881.58,37035.58,27869.74,39710.53,29210.53,25339.47,24014.47,29539.47,31000.0,30592.11,36000.0,41476.32,42243.59,40000.0
2020-04-01,23305.0,25008.75,31934.38,23803.13,21996.67,23026.67,25755.0,29078.33,22132.98,34800.0,30686.67,32039.39,28185.25,28471.43,26789.06,31338.89,30675.0,35211.67,41240.0,28296.67,28860.0,27946.97,23290.0,30883.33,25775.0,23883.33,23000.0,30701.67,29800.0,27615.63,42930.0,42050.0,38640.63,46381.67
2020-05-01,26066.67,28709.62,33997.83,27547.83,29856.52,30042.86,32680.43,33204.76,29764.29,36047.62,34241.3,34373.91,33414.29,34308.7,33945.65,35400.0,36641.3,39021.43,38026.32,31175.0,33409.52,34903.57,27328.26,35833.33,25380.43,23921.74,25026.19,35852.38,26750.0,23043.48,41739.13,40886.96,44043.48,49139.13
2020-06-01,31810.87,36108.93,43931.25,33928.26,37247.83,35130.43,38021.74,38321.74,33892.42,37445.65,33632.61,38656.52,37234.44,37876.09,36360.87,40345.65,41608.7,45393.48,43171.74,44341.3,45880.43,47959.78,33723.91,43195.65,30489.13,28445.65,31943.18,35804.35,30869.57,30000.0,43891.3,41215.22,44673.91,50626.09
2020-07-01,24906.52,31662.5,37014.0,28713.04,31597.83,30404.35,32304.35,35084.78,33443.55,37228.26,32510.87,36406.52,33905.56,34784.0,32910.87,36493.48,38717.39,45486.96,50056.52,39843.48,38554.35,44050.0,31213.04,46695.65,33489.13,30473.91,31273.91,36406.52,31282.61,32478.26,42600.0,41913.04,42500.0,50028.26
2020-08-01,22286.36,28138.46,29732.26,25831.82,27652.27,27604.55,29864.29,32581.82,25404.29,35170.45,32363.64,32752.27,29246.43,30791.3,27838.64,33700.0,30713.64,36788.64,44859.09,32809.09,29454.55,37565.12,25618.18,38079.55,30045.45,29484.09,25230.95,38006.82,30500.0,29090.91,42275.0,41222.73,41000.0,49090.91
2020-09-01,24145.0,29345.92,30551.75,26521.25,29805.0,28770.0,30657.5,31153.75,28516.3,34431.25,31801.25,30595.0,29539.24,30563.75,27507.5,31690.0,30527.5,39607.5,43608.75,33086.25,29000.0,34959.38,24830.0,38106.25,28350.0,28487.5,24647.5,34000.0,26175.0,25425.0,41877.5,39283.75,37500.0,51942.5
2020-10-01,26250.0,30571.15,33035.42,27376.19,31464.29,28704.76,31190.0,32095.24,29137.93,35431.82,31705.0,31078.57,29874.36,30710.0,27790.48,32611.9,29707.14,41947.62,41642.86,35465.91,31500.0,38862.82,25745.24,36035.71,30130.95,29807.14,27390.91,34566.67,28625.0,30000.0,37961.9,40082.5,37619.05,50819.05
2020-11-01,31678.57,33364.81,34652.78,32757.14,33811.9,33250.0,38076.19,34590.48,33548.39,35214.29,33197.62,34126.19,34250.0,33942.86,31864.29,34845.24,34742.86,39954.76,45050.0,42002.38,34238.1,44702.38,30823.81,37309.52,32428.57,30542.86,28430.95,34795.24,29226.19,30000.0,39328.57,41661.9,37440.48,49028.57
2020-12-01,30475.0,34290.91,34440.32,31765.0,33902.5,32307.5,35755.26,35280.0,34206.52,34618.42,33832.5,34920.0,34456.76,34642.11,33160.0,35677.5,37710.0,42463.16,45217.5,38447.5,34921.05,40230.56,28732.5,41578.95,35125.0,31437.5,29172.5,35685.0,29812.5,31100.0,40950.0,39000.0,38125.0,46975.0
2021-01-01,37487.5,36718.33,35015.63,32610.0,32150.0,32852.5,36600.0,34425.0,32633.93,41500.0,32907.5,36142.5,34007.35,35472.5,32202.5,34600.0,36567.5,39492.5,34990.0,33200.0,34150.0,40770.97,27652.5,34550.0,35500.0,33660.0,27532.5,32830.0,28687.5,32000.0,34167.5,39000.0,43325.0,34610.0
2021-02-01,31071.05,36857.14,32400.0,31357.89,30192.11,31205.26,32842.11,33510.53,26725.93,40815.79,30639.47,34973.68,32710.42,33868.42,30626.32,35315.79,33623.68,38015.79,35000.0,33868.42,38684.21,37122.73,31168.42,40157.89,35578.95,28323.68,26584.21,33755.26,29210.53,27368.42,34934.21,38857.89,40986.84,35000.0
2021-03-01,26802.27,31878.26,34807.41,31075.0,32875.0,31613.64,35000.0,33631.82,31803.03,36397.73,30447.73,34797.73,33704.69,34213.64,33020.45,36302.27,34950.0,42781.82,41720.45,32670.45,38704.55,35888.64,28813.64,43738.64,31829.55,28106.82,26293.18,34200.0,27736.36,24636.36,35059.09,39000.0,41488.64,36159.09
2021-04-01,28145.45,31317.39,35778.26,32095.45,34976.19,36221.43,38023.81,36928.57,35765.15,36523.81,32614.29,38900.0,37556.45,38880.95,36963.64,38188.1,42428.57,44059.52,45700.0,35938.64,33166.67,34221.74,27625.0,42000.0,34226.19,31188.1,27700.0,35071.43,28397.62,25571.43,39535.71,40864.29,41190.48,37445.45
2021-05-01,29127.78,32157.5,34068.42,31813.16,36402.78,35600.0,38210.53,37780.56,37312.5,39597.22,33607.89,38200.0,37920.69,38505.26,36260.53,40688.89,37855.26,46433.33,44533.33,38576.32,38094.74,39165.79,29984.21,44236.84,33881.58,32113.16,30800.0,37766.67,28333.33,27368.42,41157.89,40818.42,42839.47,40286.84
2021-06-01,30221.43,33234.78,33026.19,33385.71,37226.19,35211.9,38619.05,37433.33,36793.48,38452.38,31704.76,35438.1,33734.78,34616.67,31485.71,38533.33,35521.43,46738.1,43142.86,43114.29,41154.76,41320.45,31883.33,45916.67,33535.71,29633.33,30514.29,36452.38,27107.14,31619.05,41223.81,40419.05,42857.14,37614.29
2021-07-01,28804.76,30257.14,31627.27,27733.33,31380.95,27400.0,30428.57,32266.67,34343.75,40250.0,30578.57,33742.86,31431.25,32654.76,28240.48,37426.19,30247.62,41147.62,42980.95,37447.62,38511.9,39141.3,29150.0,44023.81,33642.86,29502.38,26552.38,35657.14,28533.33,31095.24,39090.48,41942.86,41785.71,37809.52
2021-08-01,27597.5,29380.0,31250.0,26055.0,29637.5,27723.81,30050.0,31502.5,30000.0,35487.5,31442.5,33015.0,33027.27,33095.0,30070.0,36310.0,31022.5,39390.0,39675.0,33007.5,33050.0,35222.5,25832.5,38400.0,31160.0,28067.5,24710.0,34492.5,28750.0,23000.0,37695.0,40590.0,42162.5,37350.0
2021-09-01,28159.09,29443.75,30746.43,29013.64,32584.09,31545.45,33636.36,34861.36,37548.21,35534.09,31720.45,33700.0,33195.65,33984.09,31302.27,35902.27,37322.73,43534.09,43779.55,36770.45,37386.36,38113.64,28811.36,42863.64,29659.09,29759.09,25525.0,34606.82,28222.73,21954.55,36972.73,39900.0,42500.0,36620.45
2021-10-01,29337.5,31245.0,31379.17,30452.5,31350.0,33485.71,33725.0,35150.0,37213.64,37825.0,32230.0,34080.0,33404.55,33952.5,32382.5,35932.5,36525.0,43502.5,47275.0,40280.0,40912.5,42200.0,32475.0,40925.0,32725.0,29545.0,27762.5,34887.5,29375.0,26850.0,38095.0,39452.5,42065.0,36650.0
2021-11-01,29047.73,30636.96,29622.86,29843.18,29988.64,31081.82,33818.18,34361.36,36568.75,35965.91,32236.36,34377.27,33738.89,34081.82,32693.18,35875.0,36272.73,43593.18,46488.64,37627.27,40306.82,40636.96,32745.45,46590.91,32443.18,32977.27,28031.82,35884.09,28068.18,25000.0,39150.0,40897.73,42500.0,36650.0
2021-12-01,30378.26,32428.26,32120.0,31358.7,32717.39,33330.43,35739.13,35530.43,40645.65,37315.22,33300.0,35828.26,34662.96,35910.87,33584.78,37269.57,36219.57,42789.13,44260.87,35063.04,35619.57,37272.92,30385.42,45782.61,32989.13,33293.48,26667.39,34621.74,30163.04,25000.0,39628.26,41791.3,42391.3,37108.7
2022-01-01,33664.29,35811.9,37404.76,36740.48,36654.76,38235.71,41380.95,38045.24,39319.05,38583.33,34526.19,37592.86,37213.04,38678.57,36657.14,38902.38,41292.86,45378.57,43028.57,36859.52,40011.9,38014.29,30883.33,44476.19,31083.33,35192.86,30078.57,35161.9,29404.76,26523.81,41530.95,42678.57,42619.05,37600.0
2022-02-01,28541.67,32083.33,34197.22,29813.89,30472.22,29522.22,32472.22,33861.11,36086.11,36347.22,33650.0,34511.11,33711.11,35352.78,31863.89,36986.11,35150.0,41547.22,43394.44,39952.78,41430.56,38700.0,31436.11,45305.56,32194.44,33886.11,31594.44,34691.67,31388.89,27000.0,42783.33,43416.67,44194.44,39830.56
2022-03-01,28413.64,30800.0,34441.3,32606.82,34215.91,33822.73,35795.45,35500.0,37209.09,36965.91,33815.91,35941.67,34684.09,35777.27,33388.64,38102.27,35388.64,41240.91,48775.0,38897.73,38852.27,36959.09,30506.82,45579.55,31488.64,32131.82,30784.09,33877.27,31263.64,25272.73,42156.82,42129.55,44034.09,37963.64
2022-04-01,32322.5,33447.5,34190.0,33505.0,36612.5,35892.5,38150.0,37460.0,39832.5,36812.5,35547.5,38820.0,38389.13,39712.5,36959.52,40165.0,40215.0,45207.5,52472.5,38270.0,40100.0,37697.5,31687.5,43512.5,32912.5,33487.5,33204.76,35850.0,31702.5,30450.0,42455.0,43442.86,44717.5,38732.5
2022-05-01,34233.33,36736.67,38220.0,33996.67,36775.0,35938.33,37333.33,38533.33,37950.0,38875.0,35300.0,37028.79,36338.33,37546.67,33795.0,39816.67,37506.67,44096.67,52961.67,37456.67,40591.67,39158.33,30291.67,46158.33,35558.33,36658.33,35995.0,39250.0,33333.33,37316.67,42206.67,42860.0,45533.33,39831.67
2022-06-01,32170.51,32780.77,34457.69,29862.82,35974.36,32328.21,34166.67,36667.95,40033.33,37498.72,35767.95,37610.26,37147.44,38401.28,35084.62,39158.97,37876.92,44374.36,46794.87,40855.13,42980.77,40844.87,33400.0,49461.54,33634.62,35447.44,30891.03,42373.08,31762.82,33974.36,42823.08,44561.54,44358.97,41284.62
2022-07-01,30857.14,30180.95,33666.67,28385.71,32880.95,33488.1,34428.57,36507.14,36726.19,36011.9,35871.43,37397.62,37571.43,38921.43,38507.14,38519.05,41050.0,45766.67,42652.38,38919.05,35202.38,36461.9,31490.48,46440.48,34328.57,32742.86,31580.95,42380.95,32380.95,29333.33,42900.0,43116.67,45000.0,40650.0
2022-08-01,28926.09,30060.87,33523.91,27560.87,29260.87,28850.0,30413.04,34015.22,33923.91,35054.35,34986.96,35273.91,35245.65,35547.83,33884.78,36686.96,37589.13,43986.96,45578.26,35776.09,35021.74,35023.91,30002.17,41532.61,33928.26,31017.39,26669.57,40071.74,33532.61,26391.3,42150.0,41436.96,45000.0,40363.04
2022-09-01,30268.18,30754.55,33191.67,27604.55,29636.36,28311.36,29454.55,33945.45,34886.36,35965.91,33922.73,34800.0,34159.09,34827.27,32427.27,35868.18,35420.45,42795.45,43320.45,38843.18,38084.09,35165.91,30204.55,45261.36,31902.27,30997.73,26590.91,39534.09,32045.45,25000.0,42061.36,40711.36,45000.0,39686.36
2022-10-01,28723.81,29552.38,33735.71,25914.29,29214.29,27354.76,28261.9,32500.0,31809.52,35464.29,33447.62,33895.24,32488.1,32988.1,30009.52,35428.57,34809.52,42871.43,42216.67,38471.43,39447.62,37216.67,33433.33,42571.43,29202.38,30514.29,25633.33,39673.81,30761.9,25000.0,42445.24,40623.81,44940.48,40180.95
2022-11-01,29884.09,31034.09,33822.73,28013.64,29538.64,27609.09,28636.36,32422.73,29970.45,35659.09,34284.09,34220.45,33113.64,33761.36,31154.55,35470.45,35006.82,41781.82,41456.82,36484.09,38261.36,36443.18,34354.55,43625.0,30102.27,31372.73,26836.36,40015.91,30113.64,25000.0,41900.0,39418.18,45000.0,39090.91
2022-12-01,33422.73,33340.91,35136.36,31379.55,31850.0,32040.91,34909.09,34302.27,35811.36,36750.0,35070.45,35134.09,34111.36,35034.09,32384.09,35750.0,36315.91,43563.64,42815.91,37868.18,38354.55,36475.0,34488.64,48102.27,32477.27,34138.64,27345.45,40056.82,30000.0,25272.73,41945.45,40659.09,44761.36,39856.82
2023-01-01,31697.62,33969.05,35426.19,30595.24,31797.62,30340.48,31400.0,33402.38,36557.14,38397.62,35145.24,34754.76,33366.67,33488.1,30809.52,35447.62,36371.43,41078.57,42966.67,38161.9,38261.9,36519.05,34166.67,48697.62,31785.71,34828.57,27990.48,40233.33,29880.95,30380.95,40259.52,39271.43,44892.86,40100.0
2023-02-01,29097.5,31232.5,32850.0,26682.5,30750.0,28115.0,29320.0,32517.5,30837.5,35172.5,34842.5,34130.0,32977.5,32987.5,30672.5,35682.5,34827.5,35405.0,44477.5,36615.0,37175.0,36932.5,34815.0,46655.0,30280.0,33355.0,26185.0,40070.0,27500.0,24900.0,39200.0,40242.5,45150.0,40667.5
2023-03-01,29430.95,31814.29,33128.57,27371.43,31130.95,30157.14,30664.29,32976.19,33309.52,36300.0,34223.81,34609.52,33566.67,33573.81,31092.86,36307.14,35478.57,37238.1,44319.05,35480.95,35571.43,36102.38,34959.52,45307.14,29952.38,31769.05,26797.62,40228.57,28309.52,25523.81,39045.24,44080.95,45333.33,39702.38
2023-04-01,29907.89,32236.84,33123.68,28428.95,30960.53,30523.68,31510.53,34613.16,34268.42,37181.58,37028.95,37152.63,37023.68,37489.47,34497.37,38178.95,37402.63,43581.58,44721.05,36897.37,35210.53,35097.37,34765.79,46402.63,30907.89,35847.37,28394.74,41678.95,28573.68,28052.63,38918.42,46331.58,45447.37,39715.79
2023-05-01,31719.05,35916.67,35278.57,32485.71,33702.38,34788.1,37714.29,36811.9,37145.24,39169.05,37397.62,36840.48,36490.48,36440.48,34809.52,38033.33,40173.81,43442.86,41985.71,37495.24,39154.76,37269.05,35890.48,44580.95,30916.67,33928.57,29335.71,37885.71,27952.38,31428.57,38830.95,44854.76,45619.05,38657.14
2023-06-01,33911.76,39426.47,37697.06,35438.24,34955.88,35767.65,37841.18,37026.47,40420.59,38991.18,37100.0,39020.59,39247.06,38820.59,37367.65,39661.76,41867.65,44394.12,43776.47,41585.29,40338.24,38573.53,38023.53,53961.76,32014.71,36552.94,32444.12,40347.06,27426.47,34000.0,39561.76,44505.88,45544.12,40164.71
2023-07-01,32501.206,36217.246,35233.508,31646.698,33091.782,32923.221,34741.938,35573.322,37113.45,38355.447,36581.07,38052.179,37242.802,39340.74,35063.6,38955.42,38507.686,44824.72,41987.687,40241.318,32559.85,37571.584,35648.022,51323.414,32593.5,35263.769,31843.472,40474.358,27647.813,31496.806,39997.07,43839.841,46313.413,40132.105
2023-08-01,29555.588,33569.391,33164.026,29863.003,31917.99,31613.41,33750.491,34503.085,34311.17,36943.128,36622.888,35275.867,34358.703,35967.14,32435.489,36739.562,35193.54,43476.981,43302.535,38168.797,32379.21,36724.606,34873.071,46915.064,32189.928,34372.46,29011.835,40601.656,27752.307,28924.18,39843.838,43219.361,46339.451,40099.5
2023-09-01,30408.17,33651.497,33059.822,29850.573,31927.365,31588.856,33706.327,34458.994,35273.62,37110.553,36573.044,35184.697,34005.187,35246.58,32477.224,36252.236,34833.507,43300.941,41344.038,38968.314,35441.56,36733.422,35035.444,47719.067,31516.877,33700.759,27692.48,40728.954,27494.416,27768.563,39617.045,42807.734,46175.895,40066.894
